All Racers - ELO and License Report
Generated on: 2025-10-04 15:35:26
====================================================================================================

Rank   Name                                License         ELO        Steam GUID
330    Tuhero                              Rookie          1515       76561198045522603
331    Sneeper92                           Rookie          1515       76561199478085486
332    Player                              Rookie          1515       76561198816242220
333    Anita Max Wynn                      Rookie          1515       76561199024728350
334    BRENNEN                             Rookie          1515       76561198840040642
335    Revzk                               Rookie          1515       76561198261930891
336    rossada                             Rookie          1514       76561198060752380
337    Gil                                 Rookie          1514       76561198013859484
338    cookie                              Rookie          1514       76561198008349810
339    anemonism                           C               1514       76561199037469182
340    Lucas Lima                          Rookie          1514       76561198285341331
341    Pineapple the Fruit Dude            Rookie          1514       76561198873010777
342    Maple On Dead Pedals                C               1514       76561199179068038
343    Ze Cunha                            Rookie          1514       76561198021577255
344    Sommerc09                           Rookie          1513       76561199475375441
345    Luc__00                             Rookie          1513       76561198162150178
346    Luigichadgamer                      Rookie          1513       76561198959607755
347    MightyBeast                         Rookie          1513       76561198394600145
348    Erkenbrands                         C               1513       76561198038557517
349    juiceza                             Rookie          1513       76561198238132230
350    OffGridArcade                       Rookie          1513       76561198442309042
351    Js.Choi                             Rookie          1513       76561198090555634
352    ryanborstelmann                     C               1512       76561199262700322
353    Player                              Rookie          1512       76561199630482516
354    Miki_on_kartofel                    Rookie          1512       76561199065716443
355    Santino Benavidez                   Rookie          1511       76561199094759277
356    RTP QWURCLE                         Rookie          1511       76561199502656393
357    Sage                                Rookie          1511       76561198278976160
358    st00pit                             Rookie          1511       76561198940275704
359    Roberto Iofalo                      Rookie          1511       76561198168321657
360    amaroYF                             Rookie          1511       76561198065626590
361    Piggy5629                           Rookie          1511       76561199304963627
362    blxckdanielvdb                      Rookie          1511       76561199418758949
363    Snooze Verstappen                   Rookie          1511       76561199173082953
364    Berries                             Rookie          1511       76561197994917313
365    Speedyey                            Rookie          1511       76561198073549607
366    AxelGamesYTS                        Rookie          1511       76561198404716693
367    ?�熬?�叫                              Rookie          1511       76561198415258996
368    台南白海豚                               Rookie          1511       76561199383715254
369    Gillolface                          C               1511       76561198386154171
370    diabetesboy5                        Rookie          1511       76561198450839258
371    KK                                  Rookie          1511       76561199226956093
372    VICIOUS MOGGER                      Rookie          1511       76561199654247456
373    MrToast                             Rookie          1511       76561198161130187
374    Alejandroo                          Rookie          1511       76561199319697649
375    mutanofn                            Rookie          1510       76561198207220595
